App,Lingua,Valutazione,Utente,Data,Recensione
KitchenPal,IT,5,Andrea Patané,2026-07-28 22:09:44,in fase di valutazione generale
KitchenPal,IT,5,Tiziana Panigada,2026-01-24 12:31:43,Semplice da usare ma completa. La scansione del codice a barre è fantastica. Ben organizzata
KitchenPal,IT,1,Mattia Salvatore,2026-01-05 18:32:34,metto 5 stelle se inserite la lingua italiana. inoltre molti alimenti non esistono come mandarini.
KitchenPal,IT,5,Antonio Di Franco,2025-06-26 22:08:14,"5 stars to this app. Simple, intuitive, useful. Which is exactly what an app should be. For those who want to keep an eye over their pantry to maximize efficiency in cooking process, to reduce waste of both food and time, to optimize the setup of their kitchen. And with a team of developers always ready to help with every possible problem."
KitchenPal,IT,4,Marco,2025-06-26 19:57:09,Attendo la traduzione in italiano in modo che la possano usare anche i miei genitori
KitchenPal,IT,4,malak sahili,2025-06-25 08:52:36,"premetto che non ho ancora usato l'app ma la mia recensione negativa è perché non riesco proprio ad accedere. provando ad accedere con Google mi dice che ho già usato i miei account su quest'applicazione (che non avevo mai installato prima d'ora), provo a creare un nuovo account e poi accedere e comunque non riesco. ormai esasperata provo ad accedere anche come ospite senza account ma neanche così riesco. AGGIORNAMENTO in meno di 24 ore hanno sistemato il bug e ora l'app mi funziona molto bene:)"
KitchenPal,IT,5,Tia,2025-05-12 21:03:37,"Ottima idea, funzionale ed efficace, sarebbe piacevole avere le notifiche sulle scadenze dei prodotti ma mi trovo molto bene."
KitchenPal,IT,5,drago8777,2024-08-22 19:19:03,"Dopo averne provate un po', ottima app senza pubblicità con tutto il necessario (condivisione pantry, lista spesa, alimenti in scadenza, scansione barcode, disponibile anche per ios). Sicuramente acquisterò la versione a pagamento nei prossimi mesi"
KitchenPal,IT,4,Andrea Raso,2024-05-08 22:57:43,Applicazioni che ha tutte le funzionalità che servono per la tua casa. La funzione di condividere la tua cucina è ottima! Siamo in attesa della lingua Italiana.
KitchenPal,IT,5,Riccardo La Monica,2023-08-29 13:31:29,"Very useful app, but unfortunately it is not translated into Italian... I'm a computer expert, and I can suggest you use automated systems, as an example DEEPL, which could automatically translate all the words into different languages! Thanks for your great news, I'll going to buy the Life Access option right now. I look forward your update in Italian 👍🏻👏🏻💯"
KitchenPal,IT,3,Eleonora L,2023-06-16 11:56:54,"L'idea è buona, ma non il funzionamento. Purtroppo, nonostante abbia dato tutte le autorizzazioni, l'app non emette notifiche sulle scadenze. Di conseguenza risulta inutile."
KitchenPal,IT,1,Michela,2023-02-25 09:04:07,33€??
KitchenPal,IT,3,Matteo Agosto,2022-12-05 15:06:29,"Potevano essere 5, ma ci sta solo in francese e inglese. App strutturata perfettamente, intuitiva e funzionale; non e solo una dispensa virtuale. Peccato per le lingue, si capisce la maggior parte delle cose in inglese per carità, ma averla in italiano sarebbe tutt'altra cosa!"
KitchenPal,IT,4,Un utente Google,2018-01-08 00:16:18,Simple and intuitive!
KitchenPal,IT,4,Un utente Google,2017-07-12 21:30:47,Nice app but what about English translation?
KitchenPal,EN,5,Eduardo Fuentes Cordero,2026-08-06 06:01:05,"Me parece excelente para generar un inventario de tus productos de consumo habitual, sobretodo me gusta el reconocimiento de IA al tomar las fotografías y añadir"
KitchenPal,EN,5,Johan Vissers,2026-08-04 17:50:02,it helps a lot! great stuff
KitchenPal,EN,5,Martin Kaminski,2026-07-30 19:02:56,"Great Customer Support, helped right away with issues. Camera scans a little to fast when out of focus for barcodes but scans most items without issue. really helps with keeping track of the fridge and spices."
KitchenPal,EN,5,Prafull Kumar,2026-07-23 08:10:42,Nice to have this app for pantry management at home
KitchenPal,EN,3,Gudrun Thompson,2026-07-18 15:26:28,I thought this app was supposed to be free. I. trying to add a new item via text search & it takes me to a page describing all the subscription options. I can't get past this to add my new items. Very disappointed!
KitchenPal,EN,5,Brad Kelly,2026-07-17 04:23:16,"Great customer support! When I had an issue with my Lifetime Family membership, the support team responded quickly and manually resolved it for us. Friendly, helpful service and a useful app. Highly recommended!"
KitchenPal,EN,4,JC Salvo,2026-07-15 23:06:04,works great 👍
KitchenPal,EN,2,Debra,2026-07-12 09:21:25,too hard to follow. removed and went back to handwritten list
KitchenPal,EN,5,GaryLikesGames,2026-07-11 23:17:09,Had a small issue when upgrading to premium. Customer service responded quickly and got the issue resolved! I love this app so far. I am terrible with recipes so having an app that we can log out ingredients and then get recipes recommended based on that is a huge help.
KitchenPal,EN,3,Graham Crutchley (Grasie),2026-07-09 12:39:49,bit slow sometimes
KitchenPal,EN,5,Joanne Thiessen,2026-07-08 03:50:42,"I've been using this app for a couple of years now and it's been so helpful in keeping track of the food in my freezer... otherwise, things get lost in there! Also great that my husband can see the inventory on his phone as well as our accounts are connected. This has helped us with meal planning and wasting less food. I've recently upgraded to Premium so I'm looking forward to testing out the bar code scanning feature a bit more."
KitchenPal,EN,5,Nate,2026-07-06 05:03:05,"Great app that can do almost anything you'd want with a kitchen app. You can scan a barcode to input food items into your kitchen by location and while it's a shared data base for what barcode is whatyou can easily change or add in what a barcode is if it shows up wrong or you got something no one else has gotten. You can set where your items are with custom locations, add in when a item will expire with reminders before it does, and. looks like my review is too long just it's great and doesall"
KitchenPal,EN,5,Chaliece Bowman,2026-07-05 03:40:15,"My husband introduced me to this app because we wanted to have a more organized and easily accessible shopping list. And because we kept forgetting that we had things in the fridge. This app has been great for keeping us organized. I don't have to worry about forgetting my shopping list either! I've recommended this app to everyone! Plus, the one time I had a bug with the app the developers responded within the day, were very friendly, and had it fixed a couple of days later."
KitchenPal,EN,5,Steve Sjoholm,2026-07-04 22:55:50,"App is great, but the customer service is on point."
KitchenPal,EN,5,Theo Mason,2026-07-04 15:37:36,well worth it!!!
